Sample,Location,Analyte,Element,Wavelength,ICPsignal,ICPsignal_error,NOMINAL_CONCENTRATIONS
17MFM06Al,98,Be 313.107,Be,313.107,814013.18,14443.73,
17MFM06Al,98,Ca 315.887,Ca,315.887,20793.75,30.83,
17MFM06Al,98,Ca 317.933,Ca,317.933,74494.9,219.62,
17MFM06Al,98,Fe 238.204,Fe,238.204,26687.72,172.19,
17MFM06Al,98,Fe 239.563,Fe,239.563,3204.9,16.76,
17MFM06Al,98,K 404.721,K,404.721,41.5,14.93,
17MFM06Al,98,K 766.491,K,766.491,35507.63,693.71,
17MFM06Al,98,Ti 334.941,Ti,334.941,359943.58,2284.32,
17MFM06Al,98,Ti 336.122,Ti,336.122,179668.12,1246.8,
17MFM06Al,98,Ti 336.122,Ti,336.122,179668.12,1246.8,
CFG1,99,Al 308.215,Al,308.215,13413.8,37.5,
CFG1,99,Al 396.152,Al,396.152,60093.6,445.71,
CFG1,99,Be 313.042,Be,313.042,2894824.18,18835.39,
CFG1,99,Be 313.107,Be,313.107,1423861.26,7478.25,
CFG1,99,Ca 315.887,Ca,315.887,9957.17,51.32,
CFG1,99,Ca 317.933,Ca,317.933,36299.52,138.67,
CFG1,99,Fe 238.204,Fe,238.204,48823.23,50.9,
CFG1,99,Fe 239.563,Fe,239.563,5833.33,15.36,
CFG1,99,K 404.721,K,404.721,43.62,18.17,
CFG1,99,K 766.491,K,766.491,67070.18,640.06,
CFG1,99,Ti 334.941,Ti,334.941,333789.2,1550.42,
CFG1,99,Ti 336.122,Ti,336.122,166611.03,710.86,
CFG1,99,Ti 336.122,Ti,336.122,166611.03,710.86,
17MH01Al,100,Al 308.215,Al,308.215,52444.61,451.99,
17MH01Al,100,Al 396.152,Al,396.152,268514.91,2754.52,
17MH01Al,100,Be 313.042,Be,313.042,2394109.56,32137,
17MH01Al,100,Be 313.107,Be,313.107,1176017.54,14713.83,
17MH01Al,100,Ca 315.887,Ca,315.887,3699.65,23.77,
17MH01Al,100,Ca 317.933,Ca,317.933,14338.59,35.9,
17MH01Al,100,Fe 238.204,Fe,238.204,5835.93,31.91,
17MH01Al,100,Fe 239.563,Fe,239.563,709.07,11.69,
17MH01Al,100,K 404.721,K,404.721,49.46,14.29,
17MH01Al,100,K 766.491,K,766.491,16557.75,115.93,
17MH01Al,100,Ti 334.941,Ti,334.941,262250.84,236.15,
17MH01Al,100,Ti 336.122,Ti,336.122,131027.9,138.82,
17MH01Al,100,Ti 336.122,Ti,336.122,131027.9,138.82,
17MH02Al,101,Al 308.215,Al,308.215,52459.1,179.33,
17MH02Al,101,Al 396.152,Al,396.152,268608.39,1190.97,
17MH02Al,101,Be 313.042,Be,313.042,2575392.05,45279.1,
17MH02Al,101,Be 313.107,Be,313.107,1266353.95,21995.56,
17MH02Al,101,Ca 315.887,Ca,315.887,2442.57,9.35,
17MH02Al,101,Ca 317.933,Ca,317.933,9832.65,17.2,
17MH02Al,101,Fe 238.204,Fe,238.204,2784.06,13.89,
17MH02Al,101,Fe 239.563,Fe,239.563,343.48,4.52,
17MH02Al,101,K 404.721,K,404.721,31.43,1.96,
17MH02Al,101,K 766.491,K,766.491,6510.84,76.14,
17MH02Al,101,Ti 334.941,Ti,334.941,49096.19,120.02,
17MH02Al,101,Ti 336.122,Ti,336.122,24694.21,64.78,
17MH02Al,101,Ti 336.122,Ti,336.122,24694.21,64.78,
17MH03Al,102,Al 308.215,Al,308.215,37474.99,93.86,
17MH03Al,102,Al 396.152,Al,396.152,189252.46,695.09,
17MH03Al,102,Be 313.042,Be,313.042,1283351.67,11087.72,
17MH03Al,102,Be 313.107,Be,313.107,629663.86,5068.32,
17MH03Al,102,Ca 315.887,Ca,315.887,10668.97,26.5,
17MH03Al,102,Ca 317.933,Ca,317.933,39055.98,45.78,
17MH03Al,102,Fe 238.204,Fe,238.204,61428.54,218.64,
17MH03Al,102,Fe 239.563,Fe,239.563,7376.57,8.29,
17MH03Al,102,K 404.721,K,404.721,23.31,10.6,
17MH03Al,102,K 766.491,K,766.491,18179.85,94.03,
17MH03Al,102,Ti 334.941,Ti,334.941,900990.33,2910.21,
17MH03Al,102,Ti 336.122,Ti,336.122,454865.12,650.5,
17MH03Al,102,Ti 336.122,Ti,336.122,454865.12,650.5,
GCFG1703Be,103,Al 308.215,Al,308.215,2272.66,21.12,
GCFG1703Be,103,Al 396.152,Al,396.152,529.3,20.25,
GCFG1703Be,103,Be 313.042,Be,313.042,2683882.96,39241.31,
GCFG1703Be,103,Be 313.107,Be,313.107,1323354.28,19374,
GCFG1703Be,103,Ca 315.887,Ca,315.887,199.5,19.53,
GCFG1703Be,103,Ca 317.933,Ca,317.933,1381.17,11.9,
GCFG1703Be,103,Fe 238.204,Fe,238.204,177.91,3.8,
GCFG1703Be,103,Fe 239.563,Fe,239.563,31.65,5.38,
GCFG1703Be,103,K 404.721,K,404.721,24.28,10.54,
GCFG1703Be,103,K 766.491,K,766.491,886.23,94.37,
GCFG1703Be,103,Ti 334.941,Ti,334.941,322.27,21.45,
GCFG1703Be,103,Ti 336.122,Ti,336.122,251,1.96,
GCFG1703Be,103,Ti 336.122,Ti,336.122,251,1.96,
CoQTZ6Be,104,Al 308.215,Al,308.215,2297.19,41.72,
CoQTZ6Be,104,Al 396.152,Al,396.152,637.56,22.96,
CoQTZ6Be,104,Be 313.042,Be,313.042,2718673.99,17467.14,
CoQTZ6Be,104,Be 313.107,Be,313.107,1338393.64,9631.54,
CoQTZ6Be,104,Ca 315.887,Ca,315.887,203.46,11.82,
CoQTZ6Be,104,Ca 317.933,Ca,317.933,1380.71,7.1,
CoQTZ6Be,104,Fe 238.204,Fe,238.204,211.7,7.17,
CoQTZ6Be,104,Fe 239.563,Fe,239.563,35.12,2.03,
CoQTZ6Be,104,K 404.721,K,404.721,31.35,19.75,
CoQTZ6Be,104,K 766.491,K,766.491,2197.71,42.48,
CoQTZ6Be,104,Ti 334.941,Ti,334.941,894.34,13.7,
CoQTZ6Be,104,Ti 336.122,Ti,336.122,511,16.69,
CoQTZ6Be,104,Ti 336.122,Ti,336.122,511,16.69,
17CJ01Be,105,Al 308.215,Al,308.215,2415.51,21.51,
17CJ01Be,105,Al 396.152,Al,396.152,569.75,18.87,
17CJ01Be,105,Be 313.042,Be,313.042,2880164.81,32053.41,
17CJ01Be,105,Be 313.107,Be,313.107,1418809.41,15025.19,
17CJ01Be,105,Ca 315.887,Ca,315.887,201.48,20.44,
17CJ01Be,105,Ca 317.933,Ca,317.933,1359.2,1.89,
17CJ01Be,105,Fe 238.204,Fe,238.204,294.02,12.14,
17CJ01Be,105,Fe 239.563,Fe,239.563,43.53,2.65,
17CJ01Be,105,K 404.721,K,404.721,50.24,20.52,
17CJ01Be,105,K 766.491,K,766.491,102812.78,976.93,
17CJ01Be,105,Ti 334.941,Ti,334.941,994.37,25.8,
17CJ01Be,105,Ti 336.122,Ti,336.122,558.09,5.39,
17CJ01Be,105,Ti 336.122,Ti,336.122,558.09,5.39,
17MAB04Be,106,Al 308.215,Al,308.215,2303.51,12.98,
17MAB04Be,106,Al 396.152,Al,396.152,725.15,19.13,
17MAB04Be,106,Be 313.042,Be,313.042,3102549.59,81692.22,
17MAB04Be,106,Be 313.107,Be,313.107,1530617.27,39983.12,
17MAB04Be,106,Ca 315.887,Ca,315.887,201.84,11.57,
17MAB04Be,106,Ca 317.933,Ca,317.933,1423.78,6.38,
17MAB04Be,106,Fe 238.204,Fe,238.204,210.04,9.26,
17MAB04Be,106,Fe 239.563,Fe,239.563,27.32,4.17,
17MAB04Be,106,K 404.721,K,404.721,80.06,12.46,
17MAB04Be,106,K 766.491,K,766.491,164427.53,683.78,
17MAB04Be,106,Ti 334.941,Ti,334.941,1374.69,7,
17MAB04Be,106,Ti 336.122,Ti,336.122,747.62,32.8,
17MAB04Be,106,Ti 336.122,Ti,336.122,747.62,32.8,
17MFE01Be,107,Al 308.215,Al,308.215,2301.88,20.33,
17MFE01Be,107,Al 396.152,Al,396.152,596.87,16.25,
17MFE01Be,107,Be 313.042,Be,313.042,2768504.83,16277.32,
17MFE01Be,107,Be 313.107,Be,313.107,1366113.54,7996.98,
17MFE01Be,107,Ca 315.887,Ca,315.887,226.34,19.59,
17MFE01Be,107,Ca 317.933,Ca,317.933,1433.95,16.35,
17MFE01Be,107,Fe 238.204,Fe,238.204,185.99,3.69,
17MFE01Be,107,Fe 239.563,Fe,239.563,36.74,7.6,
17MFE01Be,107,K 404.721,K,404.721,51.6,18.4,
17MFE01Be,107,K 766.491,K,766.491,49765.22,405.35,
17MFE01Be,107,Ti 334.941,Ti,334.941,5966.26,6.07,
17MFE01Be,107,Ti 336.122,Ti,336.122,3077.35,19.11,
17MFE01Be,107,Ti 336.122,Ti,336.122,3077.35,19.11,
17MFM01Be,108,Al 308.215,Al,308.215,2410.72,25.88,
17MFM01Be,108,Al 396.152,Al,396.152,546.47,13.4,
17MFM01Be,108,Be 313.042,Be,313.042,2767542.94,17957.72,
17MFM01Be,108,Be 313.107,Be,313.107,1363882.3,11037.84,
17MFM01Be,108,Ca 315.887,Ca,315.887,183.77,11.84,
17MFM01Be,108,Ca 317.933,Ca,317.933,1316.55,5.78,
17MFM01Be,108,Fe 238.204,Fe,238.204,171.51,3.69,
17MFM01Be,108,Fe 239.563,Fe,239.563,31.17,7.45,
17MFM01Be,108,K 404.721,K,404.721,39.57,16.64,
17MFM01Be,108,K 766.491,K,766.491,52328.16,196.1,
17MFM01Be,108,Ti 334.941,Ti,334.941,10172.3,37,
17MFM01Be,108,Ti 336.122,Ti,336.122,5156.74,7.5,
17MFM01Be,108,Ti 336.122,Ti,336.122,5156.74,7.5,
17MFM02Be,109,Al 308.215,Al,308.215,2393.4,13.25,
17MFM02Be,109,Al 396.152,Al,396.152,694.46,13.33,
17MFM02Be,109,Be 313.042,Be,313.042,2789753.38,62504.09,
17MFM02Be,109,Be 313.107,Be,313.107,1373223.57,31042.99,
17MFM02Be,109,Ca 315.887,Ca,315.887,182.48,8.79,
17MFM02Be,109,Ca 317.933,Ca,317.933,1321.78,14,
17MFM02Be,109,Fe 238.204,Fe,238.204,201.16,7.91,
17MFM02Be,109,Fe 239.563,Fe,239.563,33.76,3.36,
17MFM02Be,109,K 404.721,K,404.721,35.44,15.19,
17MFM02Be,109,K 766.491,K,766.491,45707.93,432.06,
17MFM02Be,109,Ti 334.941,Ti,334.941,18032.58,53.39,
17MFM02Be,109,Ti 336.122,Ti,336.122,9087.41,11.39,
17MFM02Be,109,Ti 336.122,Ti,336.122,9087.41,11.39,
17MFM03Be,110,Al 308.215,Al,308.215,2338.57,10.97,
17MFM03Be,110,Al 396.152,Al,396.152,696.35,30.06,
17MFM03Be,110,Be 313.042,Be,313.042,2395371.47,35974.47,
17MFM03Be,110,Be 313.107,Be,313.107,1179968.73,18268.27,
17MFM03Be,110,Ca 315.887,Ca,315.887,200.22,4.19,
17MFM03Be,110,Ca 317.933,Ca,317.933,1357.86,15.92,
17MFM03Be,110,Fe 238.204,Fe,238.204,166.51,7.1,
17MFM03Be,110,Fe 239.563,Fe,239.563,29.52,5.28,
17MFM03Be,110,K 404.721,K,404.721,39.11,4.6,
17MFM03Be,110,K 766.491,K,766.491,82615.58,589.45,
17MFM03Be,110,Ti 334.941,Ti,334.941,7338.41,31.99,
17MFM03Be,110,Ti 336.122,Ti,336.122,3753.59,47.29,
17MFM03Be,110,Ti 336.122,Ti,336.122,3753.59,47.29,
17MFM06Be,111,Al 308.215,Al,308.215,2315.77,21.03,
17MFM06Be,111,Al 396.152,Al,396.152,569.4,25.69,
17MFM06Be,111,Be 313.042,Be,313.042,2919063.58,35649.41,
17MFM06Be,111,Be 313.107,Be,313.107,1439064.9,18432.28,
17MFM06Be,111,Ca 315.887,Ca,315.887,178,8.33,
17MFM06Be,111,Ca 317.933,Ca,317.933,1287.51,1.91,
17MFM06Be,111,Fe 238.204,Fe,238.204,182.14,1.48,
17MFM06Be,111,Fe 239.563,Fe,239.563,27.29,7.1,
17MFM06Be,111,K 404.721,K,404.721,26.18,11.66,
17MFM06Be,111,K 766.491,K,766.491,54825.05,523.33,
17MFM06Be,111,Ti 334.941,Ti,334.941,6766.02,90.9,
17MFM06Be,111,Ti 336.122,Ti,336.122,3475.09,17.57,
17MFM06Be,111,Ti 336.122,Ti,336.122,3475.09,17.57,
17MH01Be,112,Al 308.215,Al,308.215,2286.28,16.54,
17MH01Be,112,Al 396.152,Al,396.152,544.92,17.2,
17MH01Be,112,Be 313.042,Be,313.042,2005013.81,2082.19,
17MH01Be,112,Be 313.107,Be,313.107,986059.11,2070.59,
17MH01Be,112,Ca 315.887,Ca,315.887,171.88,8.46,
17MH01Be,112,Ca 317.933,Ca,317.933,1243.5,5.72,
17MH01Be,112,Fe 238.204,Fe,238.204,164.74,11.4,
17MH01Be,112,Fe 239.563,Fe,239.563,25.45,3.03,
17MH01Be,112,K 404.721,K,404.721,32.74,4.38,
17MH01Be,112,K 766.491,K,766.491,16165.34,132.5,
17MH01Be,112,Ti 334.941,Ti,334.941,4768.25,45.29,
17MH01Be,112,Ti 336.122,Ti,336.122,2477.83,3.62,
17MH01Be,112,Ti 336.122,Ti,336.122,2477.83,3.62,
17MH02Be,113,Al 308.215,Al,308.215,2304.02,42.68,
17MH02Be,113,Al 396.152,Al,396.152,551.03,20.67,
17MH02Be,113,Be 313.042,Be,313.042,2606857.03,37385.83,
17MH02Be,113,Be 313.107,Be,313.107,1283509.49,20102.53,
17MH02Be,113,Ca 315.887,Ca,315.887,194.15,6.52,
17MH02Be,113,Ca 317.933,Ca,317.933,1289.18,10.39,
17MH02Be,113,Fe 238.204,Fe,238.204,293.12,10.17,
17MH02Be,113,Fe 239.563,Fe,239.563,45.24,6.36,
17MH02Be,113,K 404.721,K,404.721,14.55,7.95,
17MH02Be,113,K 766.491,K,766.491,6349.82,28.47,
17MH02Be,113,Ti 334.941,Ti,334.941,648.68,5.14,
17MH02Be,113,Ti 336.122,Ti,336.122,407.04,20.74,
17MH02Be,113,Ti 336.122,Ti,336.122,407.04,20.74,
17MH03Be,114,Al 308.215,Al,308.215,2263.63,5.5,
17MH03Be,114,Al 396.152,Al,396.152,405.9,21.28,
17MH03Be,114,Be 313.042,Be,313.042,2963032.11,36591.89,
17MH03Be,114,Be 313.107,Be,313.107,1459309.92,17275.11,
17MH03Be,114,Ca 315.887,Ca,315.887,89.86,7.55,
17MH03Be,114,Ca 317.933,Ca,317.933,808.6,15.34,
17MH03Be,114,Fe 238.204,Fe,238.204,83.03,8.71,
17MH03Be,114,Fe 239.563,Fe,239.563,20.07,5.93,
17MH03Be,114,K 404.721,K,404.721,46.26,8.62,
17MH03Be,114,K 766.491,K,766.491,37707.28,582.95,
17MH03Be,114,Ti 334.941,Ti,334.941,58717,452.33,
17MH03Be,114,Ti 336.122,Ti,336.122,29462.62,134.6,
17MH03Be,114,Ti 336.122,Ti,336.122,29462.62,134.6,
GBLANKA,115,Al 308.215,Al,308.215,2278.04,16.34,
GBLANKA,115,Al 396.152,Al,396.152,471.48,22.67,
GBLANKA,115,Be 313.042,Be,313.042,-1853.28,53.01,
GBLANKA,115,Be 313.107,Be,313.107,17.93,11.25,
GBLANKA,115,Ca 315.887,Ca,315.887,130.92,1.81,
GBLANKA,115,Ca 317.933,Ca,317.933,951.52,3.02,
GBLANKA,115,Fe 238.204,Fe,238.204,67.8,4.34,
GBLANKA,115,Fe 239.563,Fe,239.563,21.61,7.04,
GBLANKA,115,K 404.721,K,404.721,37.34,16.67,
GBLANKA,115,K 766.491,K,766.491,123.9,40.48,
GBLANKA,115,Ti 334.941,Ti,334.941,570.69,15.16,
GBLANKA,115,Ti 336.122,Ti,336.122,346.29,13.56,
GBLANKA,115,Ti 336.122,Ti,336.122,346.29,13.56,
SP10A,116,Al 308.215,Al,308.215,112556.86,974.36,
SP10A,116,Al 396.152,Al,396.152,590062.72,11339.37,
SP10A,116,Be 313.042,Be,313.042,-1664.43,31.81,
SP10A,116,Be 313.107,Be,313.107,16.19,11.61,
SP10A,116,Ca 315.887,Ca,315.887,355.34,6.5,
SP10A,116,Ca 317.933,Ca,317.933,2148.57,28.31,
SP10A,116,Fe 238.204,Fe,238.204,131.1,8.14,
SP10A,116,Fe 239.563,Fe,239.563,26.54,4.01,
SP10A,116,K 404.721,K,404.721,16.31,2.68,
SP10A,116,K 766.491,K,766.491,204.61,47.77,
SP10A,116,Ti 334.941,Ti,334.941,563.66,20.84,
SP10A,116,Ti 336.122,Ti,336.122,333.02,13.14,
SP10A,116,Ti 336.122,Ti,336.122,333.02,13.14,
SP10B,117,Al 308.215,Al,308.215,111392.58,1406.81,
SP10B,117,Al 396.152,Al,396.152,583906.58,7980.1,
SP10B,117,Be 313.042,Be,313.042,-1724.33,36.8,
SP10B,117,Be 313.107,Be,313.107,14.85,12.92,
SP10B,117,Ca 315.887,Ca,315.887,216.22,8.53,
SP10B,117,Ca 317.933,Ca,317.933,1457.7,17.08,
SP10B,117,Fe 238.204,Fe,238.204,106.16,6.24,
SP10B,117,Fe 239.563,Fe,239.563,20.38,0.85,
SP10B,117,K 404.721,K,404.721,30.11,15.46,
SP10B,117,K 766.491,K,766.491,218.89,65.51,
SP10B,117,Ti 334.941,Ti,334.941,557,4,
SP10B,117,Ti 336.122,Ti,336.122,346.83,25.22,
SP10B,117,Ti 336.122,Ti,336.122,346.83,25.22,
SP10C,118,Al 308.215,Al,308.215,111568.91,147.13,
SP10C,118,Al 396.152,Al,396.152,585840.01,4430.08,
SP10C,118,Be 313.042,Be,313.042,-2309.45,87.62,
SP10C,118,Be 313.107,Be,313.107,38.29,39.8,
SP10C,118,Ca 315.887,Ca,315.887,238.79,12.08,
SP10C,118,Ca 317.933,Ca,317.933,1565.82,20.32,
SP10C,118,Fe 238.204,Fe,238.204,199.17,4.36,
SP10C,118,Fe 239.563,Fe,239.563,38.31,3.95,
SP10C,118,K 404.721,K,404.721,33.18,24.61,
SP10C,118,K 766.491,K,766.491,211.03,92.86,
SP10C,118,Ti 334.941,Ti,334.941,574.82,16.09,
SP10C,118,Ti 336.122,Ti,336.122,342.86,22.57,
SP10C,118,Ti 336.122,Ti,336.122,342.86,22.57,
SP20A,119,Al 308.215,Al,308.215,220559.31,453.94,
SP20A,119,Al 396.152,Al,396.152,1171067.7,6034.91,
SP20A,119,Be 313.042,Be,313.042,-1195.76,27.02,
SP20A,119,Be 313.107,Be,313.107,23.38,16.54,
SP20A,119,Ca 315.887,Ca,315.887,142.01,13.67,
SP20A,119,Ca 317.933,Ca,317.933,1165.71,24.47,
SP20A,119,Fe 238.204,Fe,238.204,160.41,11.02,
SP20A,119,Fe 239.563,Fe,239.563,26.05,3.42,
SP20A,119,K 404.721,K,404.721,35.68,16.4,
SP20A,119,K 766.491,K,766.491,168.5,22.65,
SP20A,119,Ti 334.941,Ti,334.941,543.56,16.57,
SP20A,119,Ti 336.122,Ti,336.122,348.82,23.11,
SP20A,119,Ti 336.122,Ti,336.122,348.82,23.11,
SP20B,120,Al 308.215,Al,308.215,218696.45,1854.43,
SP20B,120,Al 396.152,Al,396.152,1167869.52,19661.14,
SP20B,120,Be 313.042,Be,313.042,-1651.38,82.29,
SP20B,120,Be 313.107,Be,313.107,39.12,32.5,
SP20B,120,Ca 315.887,Ca,315.887,387.94,19.23,
SP20B,120,Ca 317.933,Ca,317.933,2323.56,17.38,
SP20B,120,Fe 238.204,Fe,238.204,201.15,9.61,
SP20B,120,Fe 239.563,Fe,239.563,35.92,0.9,
SP20B,120,K 404.721,K,404.721,43.96,29.23,
SP20B,120,K 766.491,K,766.491,662.17,99.98,
SP20B,120,Ti 334.941,Ti,334.941,567.31,23.76,
SP20B,120,Ti 336.122,Ti,336.122,356.81,7.29,
SP20B,120,Ti 336.122,Ti,336.122,356.81,7.29,
Blank,121,Al 308.215,Al,308.215,2365.11,20.74,0.00
Blank,121,Al 396.152,Al,396.152,451.91,8.3,0.00
Blank,121,Be 313.042,Be,313.042,-1659.03,27.79,0.00
Blank,121,Be 313.107,Be,313.107,14.75,6.84,0.00
Blank,121,Ca 315.887,Ca,315.887,119.81,10.87,0.00
Blank,121,Ca 317.933,Ca,317.933,983.13,7.35,0.00
Blank,121,Fe 238.204,Fe,238.204,60.31,2.16,0.00
Blank,121,Fe 239.563,Fe,239.563,17.38,2.52,0.00
Blank,121,K 404.721,K,404.721,36.29,9.17,0.00
Blank,121,K 766.491,K,766.491,175.75,23.47,0.00
Blank,121,Ti 334.941,Ti,334.941,563.45,23.99,0.00
Blank,121,Ti 336.122,Ti,336.122,371.64,12.33,0.00
Blank,121,Ti 336.122,Ti,336.122,371.64,12.33,0.00
Standard 1,122,Al 308.215,Al,308.215,13167.65,111.29,0.98
Standard 1,122,Al 396.152,Al,396.152,59099.42,674.37,0.98
Standard 1,122,Be 313.042,Be,313.042,2888105.39,25573.74,0.98
Standard 1,122,Be 313.107,Be,313.107,1419882.89,12023.54,0.98
Standard 1,122,Ca 315.887,Ca,315.887,9901.58,63.22,0.98
Standard 1,122,Ca 317.933,Ca,317.933,36010.38,118.66,0.98
Standard 1,122,Fe 238.204,Fe,238.204,48250.69,145.52,0.98
Standard 1,122,Fe 239.563,Fe,239.563,5794.73,26.85,0.98
Standard 1,122,K 404.721,K,404.721,17.07,3.61,0.99
Standard 1,122,K 766.491,K,766.491,66219.14,355.92,0.99
Standard 1,122,Ti 334.941,Ti,334.941,331966.09,1076.28,0.99
Standard 1,122,Ti 336.122,Ti,336.122,165724.9,565.34,0.99
Standard 1,122,Ti 336.122,Ti,336.122,165724.9,565.34,0.99
Standard 2,123,Al 308.215,Al,308.215,56764.7,346.17,4.96
Standard 2,123,Al 396.152,Al,396.152,300798.01,1964.69,4.96
Standard 2,123,Be 313.042,Be,313.042,13865744.39,105719.85,4.95
Standard 2,123,Be 313.107,Be,313.107,6996614.47,47918.07,4.95
Standard 2,123,Ca 315.887,Ca,315.887,49138.35,70.2,4.92
Standard 2,123,Ca 317.933,Ca,317.933,173218.05,246.04,4.92
Standard 2,123,Fe 238.204,Fe,238.204,233932.4,742.75,4.92
Standard 2,123,Fe 239.563,Fe,239.563,28254.77,12.22,4.92
Standard 2,123,K 404.721,K,404.721,70.63,26.15,4.98
Standard 2,123,K 766.491,K,766.491,426118.69,2211.7,4.98
Standard 2,123,Ti 334.941,Ti,334.941,1620062.38,4501.42,4.98
Standard 2,123,Ti 336.122,Ti,336.122,810178.44,1688.26,4.98
Standard 2,123,Ti 336.122,Ti,336.122,810178.44,1688.26,4.98
Standard 3,124,Al 308.215,Al,308.215,104819,675.15,9.39
Standard 3,124,Al 396.152,Al,396.152,569478.43,7909.22,9.39
Standard 3,124,Be 313.042,Be,313.042,24887874.91,566304.38,9.37
Standard 3,124,Be 313.107,Be,313.107,12894491.28,294689.98,9.37
Standard 3,124,Ca 315.887,Ca,315.887,90798.94,132.7,9.31
Standard 3,124,Ca 317.933,Ca,317.933,321154.72,122.79,9.31
Standard 3,124,Fe 238.204,Fe,238.204,431673.13,536.6,9.31
Standard 3,124,Fe 239.563,Fe,239.563,52136.62,80.47,9.31
Standard 3,124,K 404.721,K,404.721,196.7,9.51,9.42
Standard 3,124,K 766.491,K,766.491,871395.38,2286.22,9.42
Standard 3,124,Ti 334.941,Ti,334.941,2996453.09,16166.17,9.42
Standard 3,124,Ti 336.122,Ti,336.122,1501673.55,8578.77,9.42
Standard 3,124,Ti 336.122,Ti,336.122,1501673.55,8578.77,9.42
Standard 4,125,Al 308.215,Al,308.215,220339.34,1886.89,19.92
Standard 4,125,Al 396.152,Al,396.152,1220775.77,20406.11,19.92
Standard 4,125,Be 313.042,Be,313.042,NaN,NaN,19.87
Standard 4,125,Be 313.107,Be,313.107,NaN,NaN,19.87
Standard 4,125,Ca 315.887,Ca,315.887,185060.09,758.66,19.76
Standard 4,125,Ca 317.933,Ca,317.933,643270.12,4105.68,19.76
Standard 4,125,Fe 238.204,Fe,238.204,866577.46,4756.77,19.75
Standard 4,125,Fe 239.563,Fe,239.563,104482.06,404.03,19.75
Standard 4,125,K 404.721,K,404.721,534.53,29.68,19.98
Standard 4,125,K 766.491,K,766.491,NaN,NaN,19.98
Standard 4,125,Ti 334.941,Ti,334.941,6014287.91,13202.33,19.99
Standard 4,125,Ti 336.122,Ti,336.122,3045047.8,12376.4,19.99
Standard 4,125,Ti 336.122,Ti,336.122,3045047.8,12376.4,19.99
SP20C,126,Al 308.215,Al,308.215,223152.58,2040.31,
SP20C,126,Al 396.152,Al,396.152,1187442.39,8590.02,
SP20C,126,Be 313.042,Be,313.042,-1538.53,43.98,
SP20C,126,Be 313.107,Be,313.107,94.11,40.15,
SP20C,126,Ca 315.887,Ca,315.887,265.96,5.48,
SP20C,126,Ca 317.933,Ca,317.933,1803.11,19.69,
SP20C,126,Fe 238.204,Fe,238.204,172.89,13.01,
SP20C,126,Fe 239.563,Fe,239.563,26.58,2.54,
SP20C,126,K 404.721,K,404.721,31.86,8.79,
SP20C,126,K 766.491,K,766.491,223.92,46.34,
SP20C,126,Ti 334.941,Ti,334.941,671.19,23.39,
SP20C,126,Ti 336.122,Ti,336.122,406.13,13.82,
SP20C,126,Ti 336.122,Ti,336.122,406.13,13.82,
F10A,127,Al 308.215,Al,308.215,120221.51,337.69,
F10A,127,Al 396.152,Al,396.152,631058.7,3244.25,
F10A,127,Be 313.042,Be,313.042,370.83,41.14,
F10A,127,Be 313.107,Be,313.107,36.09,3.12,
F10A,127,Ca 315.887,Ca,315.887,313.09,14.61,
F10A,127,Ca 317.933,Ca,317.933,1911.36,6.64,
F10A,127,Fe 238.204,Fe,238.204,173.73,8.04,
F10A,127,Fe 239.563,Fe,239.563,28.91,6.66,
F10A,127,K 404.721,K,404.721,29.98,15.26,
F10A,127,K 766.491,K,766.491,207.31,13.41,
F10A,127,Ti 334.941,Ti,334.941,594.73,12.93,
F10A,127,Ti 336.122,Ti,336.122,374.33,4.86,
F10A,127,Ti 336.122,Ti,336.122,374.33,4.86,
F10B,128,Al 308.215,Al,308.215,119438.8,100.82,
F10B,128,Al 396.152,Al,396.152,625080.63,2704.22,
F10B,128,Be 313.042,Be,313.042,-1630.77,38.75,
F10B,128,Be 313.107,Be,313.107,40.27,23.52,
F10B,128,Ca 315.887,Ca,315.887,199.31,13.64,
F10B,128,Ca 317.933,Ca,317.933,1415.36,3.33,
F10B,128,Fe 238.204,Fe,238.204,243.62,16.4,
F10B,128,Fe 239.563,Fe,239.563,37.1,4.14,
F10B,128,K 404.721,K,404.721,18.64,11.23,
F10B,128,K 766.491,K,766.491,166.38,55.73,
F10B,128,Ti 334.941,Ti,334.941,566.47,13.65,
F10B,128,Ti 336.122,Ti,336.122,346.34,17.29,
F10B,128,Ti 336.122,Ti,336.122,346.34,17.29,
F10C,129,Al 308.215,Al,308.215,121604.39,357.63,
F10C,129,Al 396.152,Al,396.152,642173.1,5722.17,
F10C,129,Be 313.042,Be,313.042,-1171.86,36.42,
F10C,129,Be 313.107,Be,313.107,18.28,7.08,
F10C,129,Ca 315.887,Ca,315.887,219.88,3.93,
F10C,129,Ca 317.933,Ca,317.933,1516.52,24.02,
F10C,129,Fe 238.204,Fe,238.204,170.32,3.25,
F10C,129,Fe 239.563,Fe,239.563,29.89,8,
F10C,129,K 404.721,K,404.721,41.98,12.5,
F10C,129,K 766.491,K,766.491,1118.76,42.22,
F10C,129,Ti 334.941,Ti,334.941,586.93,8.13,
F10C,129,Ti 336.122,Ti,336.122,366.01,20.98,
F10C,129,Ti 336.122,Ti,336.122,366.01,20.98,
F20A,130,Al 308.215,Al,308.215,236681.41,1703.94,
F20A,130,Al 396.152,Al,396.152,1257439.27,12741.2,
F20A,130,Be 313.042,Be,313.042,-1184.73,12.9,
